loan_percent_income,loan_intent_HOMEIMPROVEMENT,loan_grade_B,loan_grade_C,loan_grade_E,cb_person_default_on_file_Y
-0.6563934512764259,False,True,False,False,False
3.744110697991291,False,False,True,False,False
3.369599706564252,False,False,True,False,False
3.556855202277772,False,False,True,False,True
0.7480227665749731,False,False,False,False,False
2.6205777237101717,False,True,False,False,False
2.5269499758534115,False,True,False,False,False
2.339694480139892,False,False,False,False,False
2.246066732283132,False,True,False,False,False
2.6205777237101717,True,False,False,False,False
1.8715557408560923,False,False,False,False,False
1.4034170015722927,False,False,False,True,False
1.2161615058587727,False,False,False,False,False
-1.0309044427034657,False,True,False,False,False
1.1225337580020127,False,False,False,False,False
1.4034170015722927,False,False,False,False,False
-0.09462696413586633,False,True,False,False,False
0.4671395230046933,False,False,False,False,False
0.7480227665749731,False,False,False,True,True
3.275971958707492,False,False,False,False,False
-0.2818824598493861,False,False,False,False,False
2.339694480139892,False,False,False,False,True
2.9950887151372116,True,False,True,False,False
2.339694480139892,False,False,False,True,True
-0.3755102077061461,False,False,False,False,False
3.088716462993972,True,True,False,False,False
1.6843002451425721,False,False,True,False,True
-0.0009992162791063013,False,True,False,False,False
0.9352782622884931,False,False,False,False,False
1.4970447494290526,True,False,True,False,True
-0.8436489469899459,False,False,True,False,False
-1.3117876862737456,False,False,True,False,False
0.37351177514793327,False,False,False,False,False
4.305877185131851,False,False,False,True,False
2.8078332194236917,False,False,False,False,True
2.1524389844263725,True,False,False,False,True
2.339694480139892,False,False,False,False,False
2.246066732283132,False,False,False,True,False
0.37351177514793327,False,True,False,False,False
-0.9372766948467057,False,False,False,False,False
-0.8436489469899459,False,False,False,False,True
-1.3117876862737456,True,True,False,False,False
-0.8436489469899459,False,False,False,False,False
-1.0309044427034657,True,False,False,True,False
1.8715557408560923,False,False,False,False,False
1.9651834887128523,False,True,False,False,False
1.5906724972858128,False,False,False,False,False
1.9651834887128523,False,False,False,False,True
1.9651834887128523,False,False,False,False,True
1.4970447494290526,False,False,True,False,True
1.3097892537155327,False,True,False,False,False
0.7480227665749731,False,False,False,False,False
-1.2181599384169854,False,False,True,False,True
-0.9372766948467057,False,True,False,False,False
-0.3755102077061461,False,False,False,False,False
0.5607672708614533,False,False,False,False,False
-0.18825471199262633,False,False,False,True,True
0.5607672708614533,False,False,False,False,False
-1.2181599384169854,False,True,False,False,False
-1.2181599384169854,False,True,False,False,False
-0.6563934512764259,False,False,False,False,False
2.339694480139892,False,False,False,False,False
-0.562765703419666,True,True,False,False,False
-0.8436489469899459,True,False,False,False,True
-0.6563934512764259,False,False,True,False,False
0.7480227665749731,False,False,True,False,False
2.9950887151372116,False,False,False,False,False
2.4333222279966518,False,False,False,False,False
1.4970447494290526,False,False,False,False,False
3.1823442108507316,False,False,False,False,False
1.4034170015722927,False,True,False,False,False
1.6843002451425721,False,False,True,False,True
2.1524389844263725,False,False,False,False,False
1.5906724972858128,False,False,False,False,True
-0.9372766948467057,False,False,True,False,True
1.0289060101452532,False,True,False,False,False
0.7480227665749731,False,False,False,False,False
0.5607672708614533,False,False,False,False,False
0.8416505144317331,False,True,False,False,False
0.18625627943441347,False,True,False,False,False
2.1524389844263725,True,False,False,False,False
0.9352782622884931,False,False,False,True,True
2.0588112365696123,False,False,True,False,True
-0.6563934512764259,False,True,False,False,False
1.8715557408560923,False,False,False,False,True
1.4970447494290526,False,False,True,False,True
1.8715557408560923,False,False,False,False,False
2.339694480139892,False,True,False,False,False
0.37351177514793327,False,True,False,False,False
-0.3755102077061461,False,False,True,False,False
2.339694480139892,False,True,False,False,False
-0.750021199133186,False,False,True,False,True
-0.750021199133186,True,True,False,False,False
-0.750021199133186,True,True,False,False,False
-1.1245321905602257,False,False,False,False,True
-0.562765703419666,False,False,True,False,True
-0.18825471199262633,False,False,True,False,False
1.2161615058587727,False,True,False,False,False
-0.09462696413586633,False,False,False,False,False
-0.2818824598493861,False,False,True,False,False
3.931366193704811,False,False,True,False,True
4.118621689418331,True,False,False,False,False
0.5607672708614533,False,False,True,False,True
1.0289060101452532,True,True,False,False,False
-0.750021199133186,True,True,False,False,False
-0.3755102077061461,True,False,False,True,True
-0.09462696413586633,False,True,False,False,False
-1.3117876862737456,False,True,False,False,False
1.6843002451425721,False,True,False,False,False
0.09262853157765347,False,False,True,False,True
4.024993941561571,False,False,False,False,True
3.275971958707492,False,True,False,False,False
1.0289060101452532,False,False,False,False,False
1.8715557408560923,False,True,False,False,False
3.931366193704811,False,False,False,True,True
3.1823442108507316,False,True,False,False,False
-0.562765703419666,False,False,False,False,False
-1.4990431819872654,False,False,False,False,False
-0.562765703419666,False,True,False,False,False
3.1823442108507316,False,True,False,False,False
3.088716462993972,False,False,False,False,False
3.088716462993972,True,False,False,False,False
3.744110697991291,False,False,False,False,False
3.088716462993972,False,True,False,False,False
3.088716462993972,False,True,False,False,False
3.088716462993972,False,False,True,False,False
2.901460967280452,False,True,False,False,False
1.9651834887128523,False,False,False,False,False
-0.562765703419666,False,True,False,False,False
-0.6563934512764259,False,False,False,False,False
-0.46913795556290616,False,False,False,False,False
-0.750021199133186,False,False,True,False,True
-0.09462696413586633,False,False,True,False,True
2.901460967280452,False,False,True,False,False
3.4632274544210118,False,False,False,False,False
2.8078332194236917,False,False,True,False,True
3.369599706564252,True,False,False,False,True
3.369599706564252,False,False,False,True,False
-0.562765703419666,False,True,False,False,False
1.5906724972858128,False,False,True,False,False
-0.8436489469899459,False,True,False,False,False
-0.6563934512764259,False,True,False,False,False
3.275971958707492,False,False,False,False,False
2.6205777237101717,False,True,False,False,False
2.6205777237101717,True,False,False,False,True
2.6205777237101717,False,True,False,False,False
2.6205777237101717,False,False,False,False,True
2.6205777237101717,False,False,True,False,True
2.6205777237101717,False,False,True,False,False
-0.6563934512764259,False,False,True,False,False
-0.46913795556290616,False,False,False,False,True
3.6504829501345317,False,False,False,True,False
2.339694480139892,False,True,False,False,False
